代码,资产名称
A02052699,其他减速机及传动装置
A02052700,飞轮和皮带轮
A02052800,离合器
A02052900,联轴器
A02053000,铰接链条
A02053100,包装机械
A02053101,充填机械
A02053102,灌装机械
A02053103,封口机械
A02053104,容器成型包装机械
A02053105,裹包机械
A02053106,捆扎打包机械
A02053107,集合装箱机械
A02053108,真空包装机械
A02053109,容器清洗机械
A02053110,容器消毒机械
A02053111,容器干燥机械
A02053112,贴标签机械
A02053113,包装计量机械
A02053114,多功能包装机械
A02053115,辅助包装机械
A02053116,包装用软管制造机械
A02053117,饮料充气机
A02053199,其他包装机械
A02053200,植物等有机物粉碎选别设备
A02053201,粉碎机
A02053202,研磨机
A02053203,分选机
A02053204,筛分设备
A02053299,其他植物等有机物粉碎选别设备
A02053300,电动及小型台式工具
A02053400,机械设备零部件
A02059900,其他机械设备
A02060000,电气设备
A02060100,电机
A02060101,发电机
A02060102,直流电机
A02060103,无刷直流电机
A02060104,交流电机
A02060105,交直流两用电机
A02060106,直线电机
A02060107,步进电机
A02060108,传感电机
A02060109,开关磁阻电机
A02060110,移相器
A02060111,潜水电泵
A02060199,其他电机
A02060200,变压器
A02060300,调压器
A02060400,变频设备
A02060500,电抗器
A02060600,互感器
A02060700,避雷器
A02060800,整流器
A02060900,镇流器
A02061000,半导体逆变设备
A02061100,半导体直、变流设备
A02061200,高压输变电用变流设备
A02061300,牵引用变流器
A02061400,电机调速用半导体变流设备
A02061500,电源设备
A02061501,稳压电源
A02061502,稳流电源
A02061503,稳频电源
A02061504,不间断电源
A02061505,多用电源
A02061506,变频器
A02061507,充电机
A02061508,直流电源
A02061509,交流电源
A02061510,原电池和原电池组
A02061511,蓄电池及充电装置
A02061512,电池及能源系统
A02061599,其他电源设备
A02061600,电容器
A02061700,生产辅助用电器
A02061701,电阻器
A02061702,变阻器
A02061703,开关电器设备
A02061704,断路器
A02061705,控制器
A02061706,接触器
A02061707,起动器
A02061708,电继电器
A02061709,控制继电器
A02061710,保护继电器
A02061711,开关柜
A02061712,控制设备
A02061713,配电屏
A02061714,配电箱
A02061715,端子箱
A02061716,保护屏
A02061717,同期屏
A02061718,故障录波屏
A02061719,电容器柜
A02061720,电容器箱
A02061721,受电箱
A02061722,受电屏
A02061723,熔断器
A02061724,电缆桥架
A02061725,插头插座和耦合器
A02061726,接线盒和端子
A02061727,电源插座和转换器
A02061799,其他生产辅助用电器
A02061800,生活用电器
A02061801,电冰箱
A02061802,风扇
A02061803,通风机
A02061804,空调机
A02061805,空气滤洁器
A02061806,空气净化设备
A02061807,排烟系统
A02061808,取暖器
A02061809,调湿调温机
A02061810,洗衣机
A02061811,吸尘器
A02061812,洗碗机
A02061813,厨房电动废物处理器
A02061814,泔水处理器
A02061815,熨烫电器
A02061816,烹调电器
A02061817,食品制备电器
A02061818,饮水器
A02061819,热水器
A02061820,美容电器
A02061821,保健器具
A02061822,电热卧具、服装
A02061899,其他生活用电器
A02061900,照明设备
A02061901,矿灯
A02061902,建筑用灯具
A02061903,车、船用灯
A02061904,水下照明灯
A02061905,民用机场灯具
A02061906,防爆灯具
A02061907,农业用灯具
A02061908,室内照明灯具
A02061909,场地用灯
A02061910,路灯
A02061911,移动照明灯塔
A02061912,除害虫用灯
A02061913,应急照明灯
A02061914,体育比赛用灯
A02061915,手电筒
A02061916,发光标志、铭牌
A02061917,摄影专用灯
A02061999,其他照明设备
A02062000,电气机械设备
A02062001,工业电热设备（电炉）
A02062002,电气物理设备
A02062003,电动工具
A02062004,换能器
A02062099,其他电气机械设备
A02062100,绝缘电线和电缆
A02062200,光缆
A02062300,电气设备零部件
A02069900,其他电气设备
A02070000,雷达、无线电和卫星导航设备
A02070100,地面雷达
A02070101,地面导航雷达
A02070102,航空管理雷达
A02070103,港口交通管制雷达
A02070104,地面交通管制雷达
A02070105,地面气象雷达
A02070106,地面测量雷达
A02070107,地面对空监视雷达
A02070108,地面对海监视雷达
A02070109,地面目标指示雷达
A02070110,低空补盲雷达
A02070111,地面跟踪雷达
A02070112,精密进场雷达
A02070113,地面二次雷达
A02070114,双/多基地雷达
A02070115,超视距雷达
A02070116,无源雷达
A02070117,地面相控阵雷达
A02070199,其他地面雷达
A02070200,机载雷达
A02070201,航行雷达
A02070202,多普勒导航雷达
A02070203,机载着陆雷达
A02070204,数传导航雷达
A02070205,机载气象雷达
A02070206,机载对空监视雷达
A02070207,机载对海监视雷达
A02070208,机载地形测绘雷达
A02070209,机载地质勘探雷达
A02070210,机载测高雷达
A02070211,机载防撞雷达
A02070212,机载雷达信标机
A02070213,机载跟踪雷达
A02070214,地形回避与地形跟随雷达
A02070215,机载测量雷达
A02070216,机载资源勘探雷达
A02070217,机载二次雷达
A02070218,机载相控阵雷达
A02070219,机载合成孔径雷达
A02070299,其他机载雷达
A02070300,舰船载雷达
A02070301,舰船导航雷达
A02070302,舰船气象雷达
A02070303,船载对空监视雷达
A02070304,船载对海监视雷达
A02070305,船载目标指示雷达
A02070306,船载引导雷达
A02070307,船载航空管制雷达
A02070308,船载二次雷达
A02070309,船载相控阵雷达
A02070310,船载航运管制雷达
A02070311,船载测量雷达
A02070399,其他舰船载雷达
A02070400,雷达配套设备
A02070401,雷达地面天线
A02070402,雷达训练器
A02070403,雷达图像传输设备
A02070404,雷达显示设备
A02070405,雷达车厢
A02070406,雷达发电机组
A02070499,其他雷达配套设备
A02070500,星载雷达
A02070600,气球载雷达
A02070700,雷达维修备件
A02070800,机载无线电导航设备
A02070801,信标接收机
A02070802,无线电罗盘
A02070803,机载着陆设备
A02070804,近程导航机载设备
A02070805,机载无线电高度表
A02070899,其他机载无线电导航设备
A02070900,地面航空无线电导航设备
A02070901,定向设备
A02070902,导航机
A02070903,航标发射机
A02070904,近程导航系统地面设备
A02070905,微波仪表着陆地面设备
A02070999,其他地面航空无线电导航设备
A02071000,机动定向导航设备
A02071001,机动定向设备
A02071002,机动导航设备
A02071099,其他机动定向导航设备
A02071100,舰船载无线电导航设备
A02071101,舰船载导航接收机
A02071102,舰船载无线电测向机
A02071103,舰船载无线电示位标
A02071199,其他舰船载无线电导航设备
A02071200,地面舰船无线电导航设备
A02071300,卫星定位导航设备
A02071400,卫星遥感设备
A02071500,雷达和无线电导航设备零部件
A02079900,其他雷达和无线电导航设备
A02080000,通信设备
A02080100,无线电通信设备
A02080101,通用无线电通信设备
A02080102,移动通信（网）设备
A02080103,航空无线电通信设备
A02080104,舰船无线电通信设备
A02080105,铁道无线电通信设备
A02080106,邮电无线电通信设备
A02080107,气象通信无线电通信设备
A02080108,无线电反制设备
A02080199,其他无线电通信设备
A02080200,接力通信系统设备
A02080201,超短波接力通信设备
A02080202,模拟微波接力通信设备
A02080203,数字微波接力通信设备
A02080204,电视微波接力设备
A02080299,其他接力通信系统设备
A02080300,散射通信设备
A02080301,散射通信机
A02080302,散射通信配套设备
A02080399,其他散射通信设备
A02080400,卫星通信设备
A02080401,地面站天线设备
A02080402,上行线通信设备
A02080403,下行线通信设备
A02080404,通信卫星配套设备
A02080405,卫星电视转播设备
A02080406,气象卫星地面发布站设备
A02080407,气象卫星地面接收站设备
A02080408,气象卫星地面数据收集站设备
A02080409,卫星电话
A02080499,其他卫星通信设备
A02080500,光通信设备
A02080501,光缆通信终端设备
A02080502,光通信中继设备
A02080503,光通信复用设备
A02080504,光通信配套设备
A02080505,光纤放大器
A02080506,合波器
A02080507,分波器
A02080508,光纤色散补偿装置
A02080509,无纤光通信设备
A02080510,脉冲编码调制终端设备
A02080511,多业务传输送设备
A02080512,光传送网设备
A02080599,其他光通信设备
A02080600,载波通信系统设备
A02080601,电缆载波通信设备
A02080602,电力线载波通信设备
A02080603,矿用及矿山采选用载波通信设备
A02080604,微波通信用载波通信设备
A02080605,载波电报机及载波业务通信设备
A02080699,其他载波通信系统设备
A02080700,电话通信设备
A02080701,普通电话机
A02080702,特种电话机
A02080703,移动电话
A02080704,电话交换设备
A02080705,会议电话调度设备及市话中继设备
A02080799,其他电话通信设备
A02080800,视频会议系统设备
A02080801,视频会议控制台
A02080802,视频会议多点控制器
A02080803,视频会议会议室终端
A02080804,音视频矩阵
A02080805,视频会议系统及会议室音频系统
A02080899,其他视频会议系统设备
A02080900,电报通信设备
A02080901,收发报机
A02080902,电传打字机
A02080903,凿孔设备
A02080904,译码设备
A02080905,人工用户电报交换设备
A02080906,用户电报自动交换设备
A02080907,智能电报终端设备
A02080908,声校微机电报打印设备
A02080909,数字电报通信设备
A02080910,纠错设备
A02080911,转换设备
A02080912,电报加密机
A02080913,无线电报接收设备
A02080999,其他电报通信设备
A02081000,传真通信设备
A02081001,文件(图文)传真机
A02081099,其他传真通信设备
A02081100,数据数字通信设备
A02081101,数据调制、解调设备
A02081102,数传机
A02081103,数据复接交换设备
A02081104,脉码调制终端设备
A02081105,增量调制终端设备
A02081106,数字电话电报终端机
A02081107,数据、多媒体通信终端设备
A02081199,其他数据数字通信设备
A02081200,微波接力通信设备
A02081300,IP 与多媒体通信设备
A02081400,通信配套设备
A02081500,通信机房设备
A02081600,天线
A02081601,发射天线
A02081602,接收天线
A02081699,其他天线
A02081700,无线传输辅助设备
A02081701,铁塔无线传输设备
A02081702,铁杆无线传输设备
A02081703,水泥杆无线传输设备
A02081704,基站配套设备
A02081799,其他无线传输辅助设备
A02081800,有线传输线路
A02081801,管孔传输线路
A02081802,铁塔传输线路
A02081803,铁杆传输线路
A02081804,水泥杆传输线路
A02081805,木杆传输线路
A02081806,直埋传输线路
A02081899,其他有线传输线路
A02081900,通信网络维护和管理系统
A02082000,通信设备零部件
A02089900,其他通信设备
A02090000,广播、电视、电影设备
A02090100,广播发射设备
A02090101,中波广播发射机
A02090102,短波广播发射机
A02090103,调频广播发射机
A02090104,调频立体声广播发射机
A02090105,调频广播差转台
A02090106,机动广播发射台
A02090107,数字音频广播发射机
A02090199,其他广播发射设备
A02090200,电视发射设备
A02090201,米波电视发射机
A02090202,分米波电视发射机
A02090203,双伴音电视发射机
A02090204,电视差转机
A02090205,机动电视发射台
A02090206,数字广播电视发射机
A02090299,其他电视发射设备
A02090300,广播和电视接收设备
A02090400,音频节目制作和播控设备
A02090401,广播录放音设备
A02090402,调音台
A02090403,监听机（机组）
A02090404,声处理设备
A02090405,收音设备
A02090406,播控设备
A02090499,其他音频节目制作和播控设备
A02090500,视频节目制作和播控设备
A02090501,电视录制及电视播出中心设备
A02090502,机动电视转播及电视播出采访设备
A02090503,录像编辑设备
A02090504,专业摄像机和信号源设备
A02090505,视频信息处理设备
A02090506,电视信号同步设备
A02090507,电视图文创作系统设备
A02090599,其他视频节目制作和播控设备
A02090600,多工广播设备
A02090700,立体电视设备
A02090800,卫星广播电视设备
A02090801,集体接收设备
A02090802,上行站接收设备
A02090803,接收测试站设备
A02090804,普及型卫星广播电视接收附加装置
A02090899,其他卫星广播电视设备
A02090900,电缆电视分配系统设备
A02090901,共用天线电视系统设备
A02090902,单向电缆电视系统设备
A02090903,双向电缆电视系统设备
A02090904,光缆电视分配系统设备
A02090999,其他电缆电视分配系统设备
A02091000,电视设备
A02091001,普通电视设备（电视机）
A02091002,特殊环境应用电视监视设备
A02091003,特殊功能应用电视设备
A02091004,特种成像应用电视设备
A02091099,其他电视设备
A02091100,视频设备
A02091101,录像机
A02091102,通用摄像机
A02091103,摄录一体机
A02091104,平板显示设备
A02091105,电视唱盘
A02091106,激光视盘机
A02091107,视频监控设备
A02091108,视频处理器
A02091109,虚拟演播室设备
A02091110,字幕机
A02091199,其他视频设备
A02091200,音频设备
A02091201,录放音机
A02091202,收音机
A02091203,音频功率放大器设备（功放设备）
A02091204,电唱机
A02091205,音响电视组合机
A02091206,话筒设备
A02091207,数码音频工作站及配套设备
A02091208,声画编辑机
A02091209,录音外围设备
A02091210,扩音设备
A02091211,音箱
A02091212,复读机
A02091213,语音语言实验室设备
A02091299,其他音频设备
A02091300,组合音像设备
A02091301,音视频播放设备
A02091302,闭路播放设备
A02091303,同声现场翻译设备及附属设备
A02091304,会议、广播及音乐欣赏系统
A02091399,其他组合音像设备
A02091400,播出设备
A02091401,机械手播出设备
A02091402,硬盘播出设备
A02091403,播出周边设备
A02091499,其他播出设备
A02091500,电影设备
A02091501,传版设备
A02091502,编辑、采访设备
A02091503,压片加工设备
A02091504,唱机生产设备
A02091505,盒式音带加工设备
A02091506,影视片制作、维护设备
A02091599,其他电影设备
A02091600,传声器、扬声器、耳塞机
A02091700,无线寻呼机
A02091800,磁(纹)卡和集成电路卡
A02091900,广播、电视、电影设备零部件
A02099900,其他广播、电视、电影设备
A02100000,仪器仪表
A02100100,自动化仪表
A02100101,温度仪表
A02100102,压力仪表
A02100103,流量仪表
A02100104,物位及机械量仪表
A02100105,显示及调节仪表
A02100106,气动、电动单元组合仪表
A02100107,基地式仪表
A02100108,绘图仪
A02100109,集中控制装置
A02100110,执行器
A02100111,自动成套控制系统
A02100112,工业控制用计算机系统
A02100199,其他自动化仪表
A02100200,电工仪器仪表
A02100201,电度表
A02100202,实验室电工仪器及指针式电表
A02100203,数字电网监测表
A02100204,电阻测量仪器
A02100205,记录电表、电磁示波器
A02100206,测磁仪器
A02100207,扩大量程装置
A02100299,其他电工仪器仪表
A02100300,光学仪器
A02100301,显微镜
A02100302,光学计量仪器
A02100303,物理光学仪器
A02100304,光学测试仪器
A02100305,电子光学及离子光学仪器
A02100306,航测仪器
A02100307,光谱遥感仪器
A02100308,红外仪器
A02100309,激光仪器
A02100310,望远镜
A02100311,眼镜
A02100312,光导纤维和纤维束
A02100313,透镜、棱镜、反射镜
A02100399,其他光学仪器
A02100400,分析仪器
A02100401,电化学分析仪器
A02100402,物理特性分析仪器及校准仪器
A02100403,热学式分析仪器
A02100404,光学式分析仪器
A02100405,射线式分析仪器
A02100406,波谱仪
A02100407,质谱仪
A02100408,色谱仪
A02100409,磁式分析仪
A02100410,晶体振荡式分析仪
A02100411,蒸馏及分离式分析仪
A02100412,气敏式分析仪
A02100413,化学变色式分析仪
A02100414,多种原理分析仪
A02100415,环境监测仪器及综合分析装置
A02100416,热分析仪
A02100417,生化分离分析仪器
A02100418,环境与农业分析仪器
A02100419,样品前处理及制备仪器
A02100420,分析仪器辅助装置
A02100499,其他分析仪器
A02100500,试验机
A02100501,金属材料试验机
A02100502,非金属材料试验机
A02100503,工艺试验机
A02100504,测力仪器
A02100505,动平衡机
A02100506,振动台与冲击台
A02100507,碰撞台
A02100508,无损探伤机
A02100509,包装件试验机
A02100510,结构试验机
A02100511,橡胶制品检测机械
A02100599,其他试验机
A02100600,试验仪器及装置
A02100601,分析天平及专用天平
A02100602,动力测试仪器
A02100603,试验箱及气候环境试验设备
A02100604,生物、医学样品制备设备
A02100605,应变及振动测试仪器
A02100606,型砂铸造试验仪器及装置
A02100607,真空检测仪器
A02100608,土工测试仪器
A02100609,实验室高压釜
A02100610,电子可靠性试验设备
A02100699,其他试验仪器及装置
A02100700,计算仪器
A02100701,液体比重计
A02100702,玻璃温度计
A02100703,气压计
A02100704,湿度计
A02100705,液体压力计
A02100706,气体与液体计量仪表
A02100707,速度测量仪表
A02100708,产量计数器
A02100709,计费与里程表
A02100710,计步器、频闪仪
A02100799,其他计算仪器
A02100800,计量仪器
A02100801,力学性能测试仪器
A02100802,大地测量仪器
A02100803,光电测量仪器
A02100804,声学振动仪器
A02100805,颗粒度测量仪器
A02100806,探伤仪器
A02100807,齿轮量仪
A02100808,螺纹量仪
A02100809,形位误差检查仪
A02100810,角度量仪
A02100899,其他计量仪器
A02100900,钟表及定时仪器
A02100901,钟
A02100902,表
A02100903,定时器
A02100904,时间记录装置
A02100905,钟表机心
A02100999,其他钟表及定时仪器
A02101000,农林牧渔仪器
A02101100,地质勘探、钻采及人工地震仪器
A02101200,地震仪器
A02101300,安全仪器
A02101400,大坝观测仪器
A02101500,电站热工仪表
A02101600,电力数字仪表
A02101700,气象仪器
A02101800,水文仪器设备
A02101900,测绘仪器
A02102000,天文仪器
A02102100,教学仪器
A02102200,核子及核辐射测量仪器
A02102300,航空仪器
A02102400,航天仪器
A02102500,船舶仪器
A02102600,纺织仪器
A02102700,建筑工程仪器
A02102800,汽车拖拉机仪表
A02102900,动力测量仪器
A02103000,心理仪器
A02103100,生理仪器
A02103200,仪器仪表零部件
A02109900,其他仪器仪表
A02110000,电子和通信测量仪器
A02110100,数字、模拟仪表及功率计
A02110101,数字仪表及装置
A02110102,模拟式电压表
A02110103,功率计
A02110199,其他数字、模拟仪表及功率计
A02110200,元件器件参数测量仪
A02110201,电阻器、电容器参数测量仪
A02110202,敏感元件、磁性材料、电感元件测量仪
A02110203,电子元件参数测量仪
A02110204,半导体器件参数测量仪
A02110205,集成电路参数测量仪
A02110299,其他元件器件参数测量仪
A02110300,时间及频率测量仪器
A02110400,网络特性测量仪
A02110500,衰减器
A02110600,滤波器
A02110700,放大器
A02110800,场强干扰测量仪器及测量接收机
A02110900,波形参数测量仪器
A02111000,电子示波器
A02111100,通讯、导航测试仪器
A02111200,有线电测量仪
A02111300,电视用测量仪
A02111400,声源、声振信号发生器
A02111500,声级计
A02111600,电声滤波器
A02111700,电声放大器
A02111800,声振测量仪
A02111900,声振仪器校准装置
A02112000,电话、电声测试仪器
A02112100,声振分析仪
A02112200,数据仪器
A02112300,计算机用测量仪器
A02112400,核仪器与核辐射探测器
A02112500,交直流电测量仪器
A02112600,磁场测量仪器
A02112700,综合测量仪
A02112800,电子和通信测量仪器零部件
A02119900,其他电子和通信测量仪器
A02120000,计量标准器具及量具、衡器
A02120100,长度计量标准器具
A02120101,端度计量标准器具
A02120102,线纹计量标准器具
A02120103,齿轮参数计量标准器具
A02120104,角度计量标准器具
A02120105,光学仪器检测器具
A02120199,其他长度计量标准器具
A02120200,热学计量标准器具
A02120201,温度计量标准器具
A02120202,热量计量标准器具
A02120203,湿度计量标准器具
A02120299,其他热学计量标准器具
A02120300,力学计量标准器具
A02120301,质量计量标准器具
A02120302,容量计量标准器具
A02120303,密度计量标准器具
